x, y, theta, stamp, 
-2.2077289105099864, -0.9280516078940234, -2.5466010046247245, 17070000000, 
-2.2263726288441723, -0.9405591387667216, -2.5546883534283706, 17172000000, 
-2.245112490027766, -0.9529256463529363, -2.561781707572768, 17274000000, 
-2.25765243701856, -0.9611009435366854, -2.5661050485172328, 17342000000, 
-2.276523313896705, -0.9732722722416239, -2.5716141420954477, 17444000000, 
-2.2954572964628746, -0.9853478863227413, -2.576299132233807, 17546000000, 
-2.314439985510909, -0.9973387946393921, -2.58028011458132, 17648000000, 
-2.3334595964958966, -1.0092545032416538, -2.583698473401933, 17750000000, 
-2.3525124157223685, -1.0211069841142533, -2.5864612894053303, 17852000000, 
-2.3715981833784685, -1.032909898412668, -2.588992009538515, 17954000000, 
-2.3907154900355523, -1.0446688609288082, -2.5912495703586296, 18056000000, 
-2.4098608558279393, -1.0563889863698808, -2.5932495507703073, 18158000000, 
-2.429029863880764, -1.0680736821702361, -2.595048356411253, 18260000000, 
-2.4482152467142084, -1.079722807896357, -2.5966617745937493, 18362000000, 
-2.467413504815006, -1.0913394825537228, -2.5980717433179628, 18464000000, 
-2.48662595128603, -1.1029300041900072, -2.599293456329417, 18566000000, 
-2.5058545849737124, -1.1145003253255723, -2.6003424476073937, 18668000000, 
-2.5250974958036063, -1.126053736607053, -2.601236298449322, 18770000000, 
-2.537931635116555, -1.133747093323159, -2.6017732262613933, 18838000000, 
-2.557187684832794, -1.1452740155939791, -2.602455265133225, 18940000000, 
-2.5764480864506774, -1.156786881553238, -2.603044998210876, 19042000000, 
-2.5957142162515456, -1.168288680856268, -2.6035592987526, 19144000000, 
-2.6149877073341306, -1.179782425085464, -2.6039876551950623, 19246000000, 
-2.6342678583957118, -1.1912694608169832, -2.6043749736388992, 19348000000, 
-2.653552052070353, -1.2027494376660752, -2.6047288895490697, 19450000000, 
-2.6728382117059826, -1.214221946701696, -2.605044173087553, 19552000000, 
-2.692126319550715, -1.2256879716944222, -2.605326451424084, 19654000000, 
-2.711417743603337, -1.2371490880517158, -2.60557834797741, 19756000000, 
-2.730713173106911, -1.2486066821684552, -2.6057976529139744, 19858000000, 
-2.750011769970155, -1.260060875607842, -2.6059863264927117, 19960000000, 
-2.7693117694685796, -1.2715114727182437, -2.6061479783635026, 20062000000, 
-2.7886121897063307, -1.2829585586329375, -2.606285821363182, 20164000000, 
-2.8079134541785504, -1.2944029415665574, -2.6064037221676815, 20266000000, 
-2.820781887021945, -1.3020315538241205, -2.6064749591433833, 20334000000, 
-2.840086197525326, -1.313473402712179, -2.6065676645201026, 20436000000, 
-2.8593920224246223, -1.32491396993257, -2.6066492776334553, 20538000000, 
-2.878698351157838, -1.336352931867224, -2.606721698847882, 20640000000, 
-2.8980046592466566, -1.347790180446966, -2.606786409706724, 20742000000, 
-2.917311313113207, -1.3592261126215828, -2.6068444500353154, 20844000000, 
-2.9366189164072716, -1.370661272544842, -2.606893378848404, 20946000000, 
-2.955927551583327, -1.382095867760716, -2.6069378043604274, 21048000000, 
-2.975236729682331, -1.3935297563498803, -2.6069768702395075, 21150000000, 
-2.9945459810470862, -1.4049627910796099, -2.607010582716259, 21252000000, 
